JSP_ID,skID1,skID2,skDesc1,skDesc2,skJCnt1,skJCnt2,UnionJcnt,TotJCnt,support1,support2,confidence,lift
456,39,12,dax,azure,7,24,1,165,0.04,0.15,14,98
457,12,41,azure,excel,24,75,1,165,0.15,0.45,4,9
459,12,60,azure,manufacturing,24,29,1,165,0.15,0.18,4,24
461,12,91,azure,software engineering,24,11,1,165,0.15,0.07,4,63
462,91,12,software engineering,azure,11,24,1,165,0.07,0.15,9,63
463,12,94,azure,sql,24,112,1,165,0.15,0.68,4,6
464,94,12,sql,azure,112,24,1,165,0.68,0.15,1,6
465,12,98,azure,tableau,24,47,1,165,0.15,0.28,4,15
466,98,12,tableau,azure,47,24,1,165,0.28,0.15,2,15
467,2,38,algorithms,databricks,43,11,2,165,0.26,0.07,5,70
468,38,2,databricks,algorithms,11,43,2,165,0.07,0.26,18,70
469,2,54,algorithms,keras,43,13,7,165,0.26,0.08,16,207
470,54,2,keras,algorithms,13,43,7,165,0.08,0.26,54,207
471,2,93,algorithms,spark ml,43,4,3,165,0.26,0.02,7,288
472,93,2,spark ml,algorithms,4,43,3,165,0.02,0.26,75,288
473,1,58,agile,looker,22,7,1,165,0.13,0.04,5,107
474,58,1,looker,agile,7,22,1,165,0.04,0.13,14,107
475,1,77,agile,project management,22,13,3,165,0.13,0.08,14,173
477,1,80,agile,pytorch,22,12,2,165,0.13,0.07,9,125
478,80,1,pytorch,agile,12,22,2,165,0.07,0.13,17,125
479,1,84,agile,relational databases,22,10,1,165,0.13,0.06,5,75
480,84,1,relational databases,agile,10,22,1,165,0.06,0.13,10,75
481,1,100,agile,tensorflow,22,22,3,165,0.13,0.13,14,102
482,100,1,tensorflow,agile,22,22,3,165,0.13,0.13,14,102
483,1,2,agile,algorithms,22,43,4,165,0.13,0.26,18,70
484,2,1,algorithms,agile,43,22,4,165,0.26,0.13,9,70
485,1,20,agile,classification,22,12,3,165,0.13,0.07,14,188
486,20,1,classification,agile,12,22,3,165,0.07,0.13,25,188
487,1,22,agile,clustering,22,11,2,165,0.13,0.07,9,136
488,22,1,clustering,agile,11,22,2,165,0.07,0.13,18,136
489,1,52,agile,julia,22,6,1,165,0.13,0.04,5,125
490,52,1,julia,agile,6,22,1,165,0.04,0.13,17,125
491,1,75,agile,predictive,22,43,4,165,0.13,0.26,18,70
492,75,1,predictive,agile,43,22,4,165,0.26,0.13,9,70
493,1,83,agile,regression,22,15,3,165,0.13,0.09,14,150
494,83,1,regression,agile,15,22,3,165,0.09,0.13,20,150
495,1,99,agile,team-oriented,22,3,2,165,0.13,0.02,9,500
498,15,3,c#,analysis,1,104,1,165,0.01,0.63,100,159
499,4,21,analytic,cloud,119,57,7,165,0.72,0.35,6,17
500,21,4,cloud,analytic,57,119,7,165,0.35,0.72,12,17
501,4,36,analytic,data visualization,119,32,3,165,0.72,0.19,3,13
502,36,4,data visualization,analytic,32,119,3,165,0.19,0.72,9,13
503,4,38,analytic,databricks,119,11,2,165,0.72,0.07,2,25
504,38,4,databricks,analytic,11,119,2,165,0.07,0.72,18,25
505,4,43,analytic,gcp,119,7,3,165,0.72,0.04,3,59
506,43,4,gcp,analytic,7,119,3,165,0.04,0.72,43,59
507,4,58,analytic,looker,119,7,3,165,0.72,0.04,3,59
508,58,4,looker,analytic,7,119,3,165,0.04,0.72,43,59
509,4,69,analytic,numpy,119,6,2,165,0.72,0.04,2,46
510,69,4,numpy,analytic,6,119,2,165,0.04,0.72,33,46
511,4,71,analytic,pandas,119,11,2,165,0.72,0.07,2,25
512,71,4,pandas,analytic,11,119,2,165,0.07,0.72,18,25
513,4,87,analytic,scikit-learn,119,11,2,165,0.72,0.07,2,25
